,lat,Max Temp,Wind Speed,Humidity,Cloudiness
388,11.52,87.43,3.91,48,17
389,65.42,44.95,12.93,75,0
390,66.32,42.97,4.23,94,100
391,-24.69,69.07,10.83,81,30
392,-6.22,81.13,1.54,76,100
393,-2.08,72.85,2.75,96,80
394,41.31,75.99,6.93,73,20
395,-10.46,79.51,7.54,83,100
396,13.79,104.71,7.2,22,0
397,14.86,105.07,11.48,21,99
398,18.08,107.6,16.11,14,0
399,66.83,55.21,2.17,54,86
400,64.29,68.0,4.47,34,40
401,9.4,93.01,5.35,45,21
402,-26.53,59.0,1.01,97,0
403,11.38,87.25,21.63,56,100
404,49.69,65.29,7.67,65,81
405,41.45,100.4,13.87,30,0
406,-20.21,75.2,11.41,73,40
407,-9.6,62.59,4.76,74,2
408,-23.68,70.15,4.0,35,31
409,-31.63,52.33,2.46,54,100
410,28.39,79.0,1.99,39,100
411,23.36,65.47,5.97,94,100
412,52.53,53.95,11.59,95,83
413,5.33,84.2,2.24,83,75
414,-23.53,64.4,6.93,77,90
415,-3.48,56.65,3.53,87,100
416,31.34,82.75,6.78,17,39
417,49.72,64.4,4.7,72,40
418,3.36,86.53,11.07,57,0
419,27.38,58.99,1.99,97,98
420,26.25,67.99,3.22,97,100
421,39.76,69.01,10.56,59,1
422,7.15,84.2,2.17,79,75
423,4.87,78.25,13.53,82,77
424,39.36,78.01,12.75,56,20
425,11.67,84.01,21.18,80,100
426,45.88,102.0,6.93,39,0
427,-3.01,75.55,3.74,91,19
428,-34.46,55.0,12.75,57,0
429,5.56,84.55,13.2,75,29
430,-5.11,74.11,7.61,90,0
431,37.14,77.0,16.11,73,0
432,-4.97,78.97,20.36,75,68
433,-51.62,23.0,9.17,92,20
434,0.07,75.37,14.97,86,100
435,30.78,44.05,2.98,78,82
436,-45.87,33.8,4.7,50,75
437,39.65,69.01,4.7,39,40
438,58.57,64.0,13.87,77,75
439,-3.18,86.35,5.03,62,98
440,51.74,52.69,7.0,93,100
441,48.55,62.6,16.11,72,1
442,29.04,76.45,2.44,91,6
443,66.77,66.19,3.29,48,64
444,63.18,55.4,23.04,58,75
445,35.02,110.29,13.49,10,0
446,25.02,88.69,22.46,58,0
447,9.96,84.2,8.05,83,40
448,5.77,83.11,4.12,69,25
449,5.79,80.95,14.54,75,78
450,17.97,84.2,4.7,58,20
451,68.22,46.4,3.36,57,75
452,-25.17,70.51,14.56,77,49
453,-13.34,83.29,7.85,28,0
454,-14.8,69.43,5.82,43,0
455,-32.72,46.4,4.68,93,0
456,11.28,80.77,9.04,80,86
457,46.83,64.4,9.86,100,1
458,20.71,88.15,10.16,58,41
459,43.65,87.8,17.9,23,0
460,15.8,82.93,14.99,79,6
461,66.08,49.45,11.21,89,100
462,15.34,90.13,7.67,30,42
463,-30.26,54.0,1.99,85,0
464,-34.0,50.0,12.75,57,0
465,8.4,82.39,5.21,79,100
466,31.31,98.6,3.36,22,47
467,-17.52,66.55,5.1,88,100
468,47.82,87.8,8.95,20,0
469,19.35,77.0,9.6,88,75
470,25.12,85.99,12.73,82,0
471,34.06,64.4,3.24,100,90
472,-8.57,72.31,6.69,38,0
473,25.05,86.71,16.98,81,0
474,25.76,83.11,9.46,85,100
475,66.56,58.63,3.4,49,99
476,25.21,62.23,5.46,90,85
477,18.39,89.6,14.99,7,75
478,35.09,87.01,20.8,69,40
479,32.72,64.4,5.82,82,90
480,49.78,64.4,4.7,82,40
481,-23.13,62.77,2.46,36,93
482,45.45,89.6,6.71,33,20
483,-31.65,51.8,10.29,76,75
484,-9.37,75.01,5.01,38,0
485,63.84,59.0,17.22,100,90
486,8.36,87.07,5.97,60,79
487,-37.83,59.0,18.34,58,35
488,-7.82,67.63,6.38,92,25
489,59.14,55.21,6.46,58,62
